outcome,treatment,learner,subgroup_var,subgroup_val,confounder_set,dataset_type,coef,se,ci_lower,ci_upper,n,n_treated,n_untreated,n_clusters,cluster_var,rv_q,rv_qa
SomeRiskHome,treat_chlorine,enet,,,base,HH,0.013565897675172637,0.011066541302631318,-0.008124124711409726,0.035255920061755,59620,1296,58324,18655,Cluster_var,,
SomeRiskHome,treat_chlorine,rf,,,base,HH,0.01601502210545407,0.010770334075140534,-0.005094444783285891,0.03712448899419403,59620,1296,58324,18655,Cluster_var,,
SomeRiskHome,treat_chlorine,xgb,,,base,HH,0.010771026276595005,0.012530478365568606,-0.013788260028977787,0.035330312582167796,59620,1296,58324,18655,Cluster_var,,
SomeRiskHome,treat_chlorine,stacked,,,base,HH,0.024888233970063633,0.00933515151344154,0.006591673213493642,0.04318479472663363,59620,1296,58324,18655,Cluster_var,,
SomeRiskHome,treat_filter,ols,,,base,HH,0.04577814335198107,0.008432300265815812,0.029251138524154556,0.06230514817980758,59620,3051,56569,18655,Cluster_var,,
SomeRiskHome,treat_filter,lasso,,,base,HH,0.06008442006231546,0.007715287559332146,0.044962734315654514,0.0752061058089764,59620,3051,56569,18655,Cluster_var,,
SomeRiskHome,treat_filter,ridge,,,base,HH,0.04897714218155125,0.008259382059789263,0.032789050809808054,0.06516523355329444,59620,3051,56569,18655,Cluster_var,,
SomeRiskHome,treat_filter,enet,,,base,HH,0.05634374659505252,0.00900621516354404,0.03869188923748768,0.07399560395261737,59620,3051,56569,18655,Cluster_var,,
SomeRiskHome,treat_filter,rf,,,base,HH,0.0542524114937954,0.009336112200473309,0.035953967825242725,0.07255085516234808,59620,3051,56569,18655,Cluster_var,,
SomeRiskHome,treat_filter,xgb,,,base,HH,0.05270114277397605,0.011817759610687123,0.02864074109924366,0.07586354371619816,59620,3051,56569,18655,Cluster_var,,
SomeRiskHome,treat_filter,stacked,,,base,HH,0.0735130288415182,0.00635104250592329,0.061065214265625535,0.08596084341741086,59620,3051,56569,18655,Cluster_var,,
SomeRiskHome,treat_other,ols,,,base,HH,-0.04811771048224681,0.010181556127810147,-0.0680731937993278,-0.02816222716516583,59620,2316,57304,18655,Cluster_var,,
SomeRiskHome,treat_other,lasso,,,base,HH,-0.07072757099407259,0.009168239143347733,-0.0886969895166845,-0.05275815247146068,59620,2316,57304,18655,Cluster_var,,
SomeRiskHome,treat_other,ridge,,,base,HH,-0.048089592792545904,0.010921900470129817,-0.06949612435673143,-0.02668306122836038,59620,2316,57304,18655,Cluster_var,,
SomeRiskHome,treat_other,enet,,,base,HH,-0.07475139821664069,0.010885267276234688,-0.09608613004015308,-0.053416666393128295,59620,2316,57304,18655,Cluster_var,,
SomeRiskHome,treat_other,rf,,,base,HH,-0.053095495513364316,0.01014735914908885,-0.07298395398377147,-0.03320703704295716,59620,2316,57304,18655,Cluster_var,,
SomeRiskHome,treat_other,xgb,,,base,HH,-0.05399213529611828,0.01172695084529917,-0.0769765366013762,-0.03100773399086036,59620,2316,57304,18655,Cluster_var,,
SomeRiskHome,treat_other,stacked,,,base,HH,-0.1140475847935437,0.010264833541009918,-0.13416055426655882,-0.09392888361000826,59620,2316,57304,18655,Cluster_var,,
VeryHighRiskHome,treat_boil,ols,,,base,HH,-0.0817548552222241,0.005242711973297511,-0.09203038187120414,-0.07147932857324406,59620,6006,53614,18655,Cluster_var,,
VeryHighRiskHome,treat_boil,lasso,,,base,HH,-0.08077427884336466,0.006142422113079371,-0.09281320496284265,-0.06873535272388667,59620,6006,53614,18655,Cluster_var,,
VeryHighRiskHome,treat_boil,ridge,,,base,HH,-0.08139535272036102,0.005178723053055602,-0.09154546339025732,-0.07124524205046473,59620,6006,53614,18655,Cluster_var,,
